source_url,listing_url,title,collection_timestamp,scraping_method,processed_timestamp,processing_status
https://www.autotempest.com/results?keywords=black%20edition&localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/e976df74-a8de-4fd2-b91f-c9d0568ef9ac/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,Vehicle Listing,2025-09-01T00:07:55.274422,autotempest_urls_only,2025-09-01T00:08:00.527937,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://privateauto.com/listing/2002-porsche-911-carrera-2-vwcxzudwhr8?utm_source=autotempest&utm_medium=referral&utm_campaign=autotempest_listings,Vehicle Listing,2025-09-01T00:07:59.710686,autotempest_urls_only,2025-09-01T00:08:00.527951,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/listing/1999-porsche-911-962150?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_premium_classifieds,Vehicle Listing,2025-09-01T00:07:59.717819,autotempest_urls_only,2025-09-01T00:08:00.527954,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2001-porsche-911-glendale-ca-2857739?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,Vehicle Listing,2025-09-01T00:07:59.724033,autotempest_urls_only,2025-09-01T00:08:00.527956,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2001-porsche-911-huntington-station-ny-2793865?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,Vehicle Listing,2025-09-01T00:07:59.730591,autotempest_urls_only,2025-09-01T00:08:00.527959,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.hemmings.com/classifieds/listing/2004-porsche-911-west-okoboji-ia-2774673?utm_source=autotempest&utm_medium=cpc&utm_campaign=autotempest_classifieds,Vehicle Listing,2025-09-01T00:07:59.736614,autotempest_urls_only,2025-09-01T00:08:00.527961,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/78a20302-90d1-4c92-ba3f-fc583453252d/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,Vehicle Listing,2025-09-01T00:07:59.743069,autotempest_urls_only,2025-09-01T00:08:00.527963,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/397e250e-4f07-4031-a543-b31eb66487ea/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,Vehicle Listing,2025-09-01T00:07:59.749239,autotempest_urls_only,2025-09-01T00:08:00.527965,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/8a27f593-5dac-453f-be09-e0ec73f2a925/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,Vehicle Listing,2025-09-01T00:07:59.758523,autotempest_urls_only,2025-09-01T00:08:00.527967,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2004&minyear=1999&model=911&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/dc388c59-019a-443c-84e4-c333179fcf69/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,Vehicle Listing,2025-09-01T00:07:59.764450,autotempest_urls_only,2025-09-01T00:08:00.527969,success
