source_url,year,model,trim,fair_value_usd,asking_price_usd,deal_delta_usd,deal_quality,timestamp
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&trim_kw=S&zip=30214,2009,Cayman,S,39000,43337,-4337,Overpriced,2025-09-04T16:49:15.809524
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&trim_kw=S&zip=30214,2009,Cayman,S,37500,31967,5533,Excellent Deal,2025-09-04T16:49:15.809546
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&trim_kw=S&zip=30214,2009,Cayman,Base,30500,32987,-2487,Overpriced,2025-09-04T16:49:15.809561
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&trim_kw=S&zip=30214,2009,Cayman,S,39000,37995,1005,Excellent Deal,2025-09-04T16:49:15.809575
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=cayman&transmission=auto&trim_kw=S&zip=30214,2011,Cayman,S,37700,42973,-5273,Overpriced,2025-09-04T16:49:15.809588
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&trim_kw=S&zip=30214,2012,Boxster,S,36000,29400,6600,Excellent Deal,2025-09-04T16:49:15.809600
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&trim_kw=S&zip=30214,2009,Boxster,S,40200,39999,201,Good Deal,2025-09-04T16:49:15.809613
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&trim_kw=S&zip=30214,2011,Boxster,S,36500,29990,6510,Excellent Deal,2025-09-04T16:49:15.809626
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&trim_kw=S&zip=30214,2011,Boxster,S,38200,41998,-3798,Overpriced,2025-09-04T16:49:15.809638
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&trim_kw=S&zip=30214,2011,Boxster,S,38000,29890,8110,Excellent Deal,2025-09-04T16:49:15.809650
