listing_id,source_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,options_categories,options_list
1,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.682411,2025-08-26T10:22:08.700884,0.42857142857142855,2012,1.0,Unknown,0.0,Unknown,0.0,Boxster S,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
2,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.683223,2025-08-26T10:22:08.701051,0.42857142857142855,2011,1.0,Unknown,0.0,Unknown,0.0,Boxster 2,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
3,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.683353,2025-08-26T10:22:08.701184,0.42857142857142855,2009,1.0,Unknown,0.0,Unknown,0.0,Boxster S,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
4,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.683448,2025-08-26T10:22:08.701341,0.42857142857142855,2011,1.0,Unknown,0.0,Unknown,0.0,Boxster S,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
5,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.683534,2025-08-26T10:22:08.701507,0.42857142857142855,2011,1.0,Unknown,0.0,Unknown,0.0,Boxster S,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
6,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.683619,2025-08-26T10:22:08.701659,0.42857142857142855,2010,1.0,Unknown,0.0,Unknown,0.0,Boxster 2,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
7,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.683703,2025-08-26T10:22:08.701795,0.42857142857142855,2012,1.0,Unknown,0.0,Unknown,0.0,Boxster 2,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
8,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.683792,2025-08-26T10:22:08.701943,0.42857142857142855,2010,1.0,Unknown,0.0,Unknown,0.0,Boxster Base,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
9,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.683902,2025-08-26T10:22:08.702112,0.42857142857142855,2011,1.0,Unknown,0.0,Unknown,0.0,Boxster Base,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
10,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.684040,2025-08-26T10:22:08.702257,0.42857142857142855,2009,1.0,Unknown,0.0,Unknown,0.0,Boxster 2,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
11,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.684204,2025-08-26T10:22:08.702389,0.42857142857142855,2011,1.0,Unknown,0.0,Unknown,0.0,Boxster S,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
12,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.684312,2025-08-26T10:22:08.702527,0.42857142857142855,2009,1.0,Unknown,0.0,Unknown,0.0,Boxster S,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
13,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T10:22:08.684414,2025-08-26T10:22:08.702673,0.42857142857142855,2010,1.0,Unknown,0.0,Unknown,0.0,Boxster S,1.0,Unknown,Unknown,0.0,0.0,AutoTempest,1.0,0,0,,
