listing_id,listing_url,source_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,options_categories,options_list
1,https://www.cars.com/vehicledetail/dccb8902-a155-44e3-bf33-6f563cb8bb77/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T03:15:40.054956,2025-08-26T03:15:40.072902,0.7142857142857143,2011,1.0,"$44,426",1.0,"49,426",1.0,Unknown,0.0,White,Silver,1.0,1.0,Unknown,1.0,5,7000,"performance, technology, convenience","Sport Exhaust (PSE), BOSE Surround Sound, PCM w/ Navigation, Heated Seats, Park Assist"
2,https://www.cars.com/vehicledetail/9887f1df-72af-47b2-b670-d9ef90a28773/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T03:15:40.055005,2025-08-26T03:15:40.072975,0.7142857142857143,2012,1.0,"$31,755",1.0,"66,755",1.0,Unknown,0.0,Silver,Blue,1.0,1.0,Unknown,1.0,7,9500,"performance, technology, convenience","Sport Chrono Package Plus, PASM Sport Suspension, Sport Exhaust (PSE), BOSE Surround Sound, PCM w/ Navigation, Heated Seats, Park Assist"
3,https://www.cars.com/vehicledetail/9911a576-8804-4fd7-a62d-61ca63768259/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T03:15:40.055039,2025-08-26T03:15:40.073039,0.42857142857142855,2009,1.0,"$32,536",1.0,"37,536",1.0,Unknown,0.0,Unknown,Unknown,0.0,0.0,Unknown,1.0,3,3000,"technology, convenience","PCM w/ Navigation, Heated Seats, Park Assist"
4,https://www.cars.com/vehicledetail/bef1535e-4d4d-481e-8ca8-4e69dd69d141/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T03:15:40.055069,2025-08-26T03:15:40.073095,0.7142857142857143,2011,1.0,"$39,242",1.0,"54,242",1.0,Unknown,0.0,White,Silver,1.0,1.0,Unknown,1.0,2,1500,"performance, convenience","Sport Chrono Package Plus, Park Assist"
5,https://www.cars.com/vehicledetail/d58b0ed4-43af-43c6-aec4-1fec0d7b3dfc/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T03:15:40.055120,2025-08-26T03:15:40.073151,0.7142857142857143,2010,1.0,"$28,773",1.0,"53,773",1.0,Unknown,0.0,Green,Yellow,1.0,1.0,Unknown,1.0,6,8500,"performance, technology, convenience","PASM Sport Suspension, Sport Exhaust (PSE), BOSE Surround Sound, PCM w/ Navigation, Heated Seats, Park Assist"
6,https://www.cars.com/vehicledetail/00913ac2-c363-4c68-be09-13193ee12b64/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T03:15:40.055200,2025-08-26T03:15:40.073209,0.7142857142857143,2012,1.0,"$43,463",1.0,"48,463",1.0,Unknown,0.0,Orange,Guards Red,1.0,1.0,Unknown,1.0,7,9500,"performance, technology, convenience","Sport Chrono Package Plus, PASM Sport Suspension, Sport Exhaust (PSE), BOSE Surround Sound, PCM w/ Navigation, Heated Seats, Park Assist"
7,https://www.cars.com/vehicledetail/571de632-1f0c-428d-808c-a1e93e992e13/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T03:15:40.055233,2025-08-26T03:15:40.073268,0.7142857142857143,2012,1.0,"$30,951",1.0,"45,951",1.0,Unknown,0.0,Orange,Guards Red,1.0,1.0,Unknown,1.0,4,4000,"technology, convenience","BOSE Surround Sound, PCM w/ Navigation, Heated Seats, Park Assist"
8,https://www.cars.com/vehicledetail/5478a97d-5d9b-4b8c-9063-147503a1631e/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T03:15:40.055261,2025-08-26T03:15:40.073323,0.7142857142857143,2010,1.0,"$30,937",1.0,"75,937",1.0,Unknown,0.0,Black,White,1.0,1.0,Unknown,1.0,6,8500,"performance, technology, convenience","PASM Sport Suspension, Sport Exhaust (PSE), BOSE Surround Sound, PCM w/ Navigation, Heated Seats, Park Assist"
9,https://www.cars.com/vehicledetail/c2112af7-00a0-49bf-9278-d9e6f627d93e/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T03:15:40.055289,2025-08-26T03:15:40.073380,0.7142857142857143,2010,1.0,"$39,213",1.0,"44,213",1.0,Unknown,0.0,Green,Yellow,1.0,1.0,Unknown,1.0,6,8500,"performance, technology, convenience","PASM Sport Suspension, Sport Exhaust (PSE), BOSE Surround Sound, PCM w/ Navigation, Heated Seats, Park Assist"
10,https://www.ebay.com/itm/306463169067?hash=item475aa0da2b%3Ag%3ABv4AAOSwQS9oWly0&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-26T03:15:40.055318,2025-08-26T03:15:40.073528,0.7142857142857143,2012,1.0,"$30,871",1.0,"75,871",1.0,Unknown,0.0,Orange,Guards Red,1.0,1.0,Unknown,1.0,3,5500,performance,"Sport Chrono Package Plus, PASM Sport Suspension, Sport Exhaust (PSE)"
