source_url,raw_text,extraction_timestamp,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,exterior_color_confidence,interior_color,interior_color_confidence,source,source_confidence,extraction_method,data_quality_score,fair_value_usd,fair_value_calculation,asking_price_usd,deal_delta_usd,deal_percentage,deal_quality,composite_score,ranking_timestamp,rank
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2007 Porsche Cayman Manual Transmission $62K MSRP 2007 Cayman Price not shown ,2025-08-26T10:21:18.594692,2007,1.0,Unknown,0.0,62,1.0,Cayman Base,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.5714285714285714,34000,"{'base_value': 30500, 'year_adjustment': 2500, 'model_premium': 0, 'mileage_adjustment': 1000, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T10:21:18.679324'}",,,,Unknown,30.0638,2025-08-26T10:21:18.689314,1
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2024 Porsche Cayman 2024 Cayman Price not shown ,2025-08-26T10:21:18.602386,2024,1.0,Unknown,0.0,Unknown,0.0,Cayman 2,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855,24500,"{'base_value': 30500, 'year_adjustment': -6000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T10:21:18.683168'}",,,,Unknown,20.240000000000002,2025-08-26T10:21:18.689352,2
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2019 Porsche Cayman S 2019 Cayman Price not shown ,2025-08-26T10:21:18.602554,2019,1.0,Unknown,0.0,Unknown,0.0,Cayman S,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855,27000,"{'base_value': 30500, 'year_adjustment': -3500, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T10:21:18.683435'}",,,,Unknown,20.19,2025-08-26T10:21:18.689355,3
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2018 Porsche Cayman 2018 Cayman Price not shown ,2025-08-26T10:21:18.601689,2018,1.0,Unknown,0.0,Unknown,0.0,Cayman 2,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855,27500,"{'base_value': 30500, 'year_adjustment': -3000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T10:21:18.682310'}",,,,Unknown,20.18,2025-08-26T10:21:18.689343,4
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2018 Porsche Cayman S 2018 Cayman Price not shown ,2025-08-26T10:21:18.601801,2018,1.0,Unknown,0.0,Unknown,0.0,Cayman S,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855,27500,"{'base_value': 30500, 'year_adjustment': -3000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T10:21:18.682587'}",,,,Unknown,20.18,2025-08-26T10:21:18.689346,5
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2016 Porsche Cayman 2016 Cayman Price not shown ,2025-08-26T10:21:18.592912,2016,1.0,Unknown,0.0,Unknown,0.0,Cayman 2,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855,28500,"{'base_value': 30500, 'year_adjustment': -2000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T10:21:18.676810'}",,,,Unknown,20.16,2025-08-26T10:21:18.689279,6
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2016 Porsche Cayman GT4 2016 Cayman Price not shown ,2025-08-26T10:21:18.593449,2016,1.0,Unknown,0.0,Unknown,0.0,Cayman GT4,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855,28500,"{'base_value': 30500, 'year_adjustment': -2000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T10:21:18.677306'}",,,,Unknown,20.16,2025-08-26T10:21:18.689287,7
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2016 Porsche Cayman GTS 2016 Cayman Price not shown ,2025-08-26T10:21:18.594393,2016,1.0,Unknown,0.0,Unknown,0.0,Cayman GTS,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855,28500,"{'base_value': 30500, 'year_adjustment': -2000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T10:21:18.678957'}",,,,Unknown,20.16,2025-08-26T10:21:18.689309,8
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2016 Porsche Cayman Coupe 2D 2016 Cayman Price not shown ,2025-08-26T10:21:18.595229,2016,1.0,Unknown,0.0,Unknown,0.0,Cayman Base,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855,28500,"{'base_value': 30500, 'year_adjustment': -2000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T10:21:18.679598'}",,,,Unknown,20.16,2025-08-26T10:21:18.689317,9
https://www.autotempest.com/results?make=porsche&model=cayman&year_min=2009&year_max=2012,2016 Porsche Cayman S 2016 Cayman Price not shown ,2025-08-26T10:21:18.598524,2016,1.0,Unknown,0.0,Unknown,0.0,Cayman S,1.0,Unknown,0.0,Unknown,0.0,AutoTempest,1.0,unified_extractor,0.42857142857142855,28500,"{'base_value': 30500, 'year_adjustment': -2000, 'model_premium': 0, 'mileage_adjustment': 0, 'color_premium': 0, 'calculation_timestamp': '2025-08-26T10:21:18.681738'}",,,,Unknown,20.16,2025-08-26T10:21:18.689337,10
