listing_id,source_url,extraction_timestamp,detection_timestamp,data_quality_score,year,year_confidence,price,price_confidence,mileage,mileage_confidence,model_trim,model_trim_confidence,exterior_color,interior_color,exterior_color_confidence,interior_color_confidence,source,source_confidence,total_options,total_options_value,options_categories,options_list
1,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:22:09.705852,2025-08-25T22:22:09.721492,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
2,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:22:09.706298,2025-08-25T22:22:09.722418,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
3,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:22:09.706542,2025-08-25T22:22:09.723291,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
4,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:22:09.706753,2025-08-25T22:22:09.724174,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
5,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:22:09.706958,2025-08-25T22:22:09.725019,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
6,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:22:09.707206,2025-08-25T22:22:09.725908,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
7,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:22:09.707424,2025-08-25T22:22:09.726780,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
8,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:22:09.707626,2025-08-25T22:22:09.727662,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
9,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:22:09.707827,2025-08-25T22:22:09.728550,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
10,https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,2025-08-25T22:22:09.708032,2025-08-25T22:22:09.729419,0.8571428571428571,Unknown,0.0,"$29,900",1.0,"45,000",1.0,Cayman Base,1.0,"Guards Red
        Interior Color","Black
        Transmission",1.0,1.0,AutoTempest,1.0,0,3550,"technology, seating, convenience, performance","BOSE Surround Sound, Heated Seats, Park Assist, PASM, PCM w/ Navigation, Sport Chrono Package Plus, Sport Exhaust (PSE)"
