source_url,listing_url,title,price,year,model,mileage,collection_timestamp,scraping_method,processed_timestamp,processing_status
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/dccb8902-a155-44e3-bf33-6f563cb8bb77/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2012 Porsche Boxster S,"$29,900
 Great Deal","Min Year                
                
            
            
                
                    Max Year",Cayman,"86,375 mi.
30 days ago",2025-08-25T22:23:15.715954,autotempest_real,2025-08-25T22:23:16.224064,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/9887f1df-72af-47b2-b670-d9ef90a28773/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2011 Porsche Boxster,"$29,900
 Great Deal","Min Year                
                
            
            
                
                    Max Year",Cayman,"86,375 mi.
30 days ago",2025-08-25T22:23:15.764525,autotempest_real,2025-08-25T22:23:16.224077,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/9911a576-8804-4fd7-a62d-61ca63768259/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2009 Porsche Boxster S,"$29,900
 Great Deal","Min Year                
                
            
            
                
                    Max Year",Cayman,"86,375 mi.
30 days ago",2025-08-25T22:23:15.809435,autotempest_real,2025-08-25T22:23:16.224080,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/bef1535e-4d4d-481e-8ca8-4e69dd69d141/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2011 Porsche Boxster S,"$29,900
 Great Deal","Min Year                
                
            
            
                
                    Max Year",Cayman,"86,375 mi.
30 days ago",2025-08-25T22:23:15.859537,autotempest_real,2025-08-25T22:23:16.224083,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/d58b0ed4-43af-43c6-aec4-1fec0d7b3dfc/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2011 Porsche Boxster S,"$29,900
 Great Deal","Min Year                
                
            
            
                
                    Max Year",Cayman,"86,375 mi.
30 days ago",2025-08-25T22:23:15.910356,autotempest_real,2025-08-25T22:23:16.224086,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/00913ac2-c363-4c68-be09-13193ee12b64/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2010 Porsche Boxster Base (M6),"$29,900
 Great Deal","Min Year                
                
            
            
                
                    Max Year",Cayman,"86,375 mi.
30 days ago",2025-08-25T22:23:15.958219,autotempest_real,2025-08-25T22:23:16.224088,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/571de632-1f0c-428d-808c-a1e93e992e13/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2012 Porsche Boxster,"$29,900
 Great Deal","Min Year                
                
            
            
                
                    Max Year",Cayman,"86,375 mi.
30 days ago",2025-08-25T22:23:16.003504,autotempest_real,2025-08-25T22:23:16.224091,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/5478a97d-5d9b-4b8c-9063-147503a1631e/?aff=atempest&utm_campaign=atempest&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2010 Porsche Boxster Base (M6),"$29,900
 Great Deal","Min Year                
                
            
            
                
                    Max Year",Cayman,"86,375 mi.
30 days ago",2025-08-25T22:23:16.048960,autotempest_real,2025-08-25T22:23:16.224093,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.cars.com/vehicledetail/c2112af7-00a0-49bf-9278-d9e6f627d93e/?aff=atempst&utm_campaign=atempst&utm_source=autotempest&utm_medium=trp&utm_campaign_id=1&utm_trusted=TRUE,2011 Porsche Boxster Boxster,"$29,900
 Great Deal","Min Year                
                
            
            
                
                    Max Year",Cayman,"86,375 mi.
30 days ago",2025-08-25T22:23:16.096054,autotempest_real,2025-08-25T22:23:16.224096,success
https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2012&model=boxster&transmission=auto&zip=30214https://www.autotempest.com/results?localization=country&make=porsche&maxyear=2012&minyear=2009&model=boxster&transmission=auto&zip=30214,https://www.ebay.com/itm/306463169067?hash=item475aa0da2b%3Ag%3ABv4AAOSwQS9oWly0&mkevt=1&mkcid=1&mkrid=711-53200-19255-0&campid=5337650957&customid=&toolid=10049,2009 Porsche Boxster,"$29,900
 Great Deal","Min Year                
                
            
            
                
                    Max Year",Cayman,"86,375 mi.
30 days ago",2025-08-25T22:23:16.142550,autotempest_real,2025-08-25T22:23:16.224098,success
